REP,block,ENTRY,T1,T2,T3,T4
4,1,40,172.1291,42.8071,37.861,21.7262
1,1,41,164.6793,43.6593,38.1731,20.447
2,1,41,165.7339,48.158,36.641,18.183
3,1,41,170.1081,43.8685,39.098,16.395
4,1,41,180.2041,43.2521,37.253,17.4557
1,1,42,169.506,59.9034,33.6434,21.1319
2,1,42,153.9407,49.8412,31.0975,18.4982
3,1,42,158.097,52.8992,34.6421,21.4696
4,1,42,140.9575,50.213,31.7214,22.7382
1,1,43,171.9143,49.309,43.489,23.8859
2,1,43,168.171,44.5016,36.2093,23.9998
3,1,43,168.5018,41.7362,43.2293,26.1457
4,1,43,169.3477,41.7082,40.9869,24.678
1,1,44,174.9109,40.6602,32.1701,19.0719
2,1,44,177.6602,46.9528,31.8683,21.8169
3,1,44,159.0883,48.2009,39.0657,19.9953
4,1,44,159.6551,42.5517,33.3599,23.0772
1,1,45,157.5663,46.6548,30.0627,23.3256
2,1,45,168.2569,50.6372,29.1764,21.28
3,1,45,171.7542,45.4377,28.533,21.3547
4,1,45,163.7543,50.4966,31.1255,24.6327
1,1,46,164.3757,40.1503,40.6687,23.7119
2,1,46,173.8643,42.532,39.1904,26.7274
3,1,46,166.0911,43.8523,38.0521,26.2488
4,1,46,150.3963,38.8617,31.3993,25.4887
1,1,47,155.3392,46.8904,37.6207,23.6908
2,1,47,157.6078,40.9212,42.5477,20.4781
3,1,47,154.0095,43.3575,39.1766,21.5219
4,1,47,180.3995,47.1265,38.8952,22.074
1,1,48,168.2934,44.7759,31.8644,22.3778
2,1,48,158.5305,53.4814,28.4149,20.4151
3,1,48,159.4178,48.5765,31.363,20.6136
4,1,48,145.1511,48.0042,34.3787,23.8479
1,1,49,166.2186,45.3683,36.0525,22.7164
2,1,49,134.3156,53.829,33.6036,21.7769
3,1,49,150.9017,50.9521,29.9771,22.2622
4,1,49,161.59,52.3991,31.5641,20.7444
1,1,50,172.7838,53.456,30.5271,21.2833
2,1,50,143.7118,48.5969,30.4914,24.0967
3,1,50,178.4045,47.4711,34.0692,21.0512
4,1,50,154.352,50.1049,34.3061,24.5447
1,1,51,147.528,44.9226,33.1614,24.0232
2,1,51,162.3176,41.4513,35.4869,24.2309
3,1,51,160.1132,47.8666,31.5666,21.2571
4,1,51,136.0756,43.531,31.0895,25.5848
1,1,52,162.3705,47.9094,37.2781,19.1562
2,1,52,178.3443,41.3548,38.7881,20.2009
3,1,52,151.4104,48.7103,36.9921,18.1365
4,1,52,177.9871,41.6954,33.9538,22.6439
1,1,53,157.468,46.8055,29.0378,25.4571
2,1,53,157.0445,41.0561,34.0038,22.5388
3,1,53,165.5022,47.7353,37.7365,22.0882
4,1,53,156.3805,47.8392,30.5683,22.5833
1,1,54,160.0286,51.948,38.5164,26.8415
2,1,54,160.9816,46.8099,36.4238,23.066
3,1,54,142.8319,49.2755,36.5535,24.6799
4,1,54,176.3483,44.0923,34.4338,25.0488
1,1,55,170.422,39.2207,33.558,20.1519
2,1,55,176.006,36.159,39.0912,22.2101
3,1,55,170.2155,39.6215,36.2251,24.0828
4,1,55,163.446,32.6661,42.1853,21.8718
1,1,56,164.6416,50.0116,33.4441,25.65
2,1,56,152.8646,41.8782,36.8818,27.2424
3,1,56,153.1145,46.9245,44.1597,25.7122
