REP,Block,ENTRY,GY,EHT,PHT
1,25,149,1.5,94.7,186.3
1,25,150,3.4,92.2,189.5
1,25,207,2.7,88.7,197
1,25,211,1,75.2,168
2,26,72,2.4,92.5,195.2
2,26,82,2.7,94.2,201.7
2,26,112,2.8,96.5,194.7
2,26,145,1.9,98.5,199
2,26,160,2.5,94.3,195
2,26,172,2.4,97.3,206.3
2,26,175,1.5,80.8,183.7
2,26,192,3.8,82.7,177.2
2,26,195,4,97.7,197.5
2,26,202,3.6,99.2,198.3
2,27,13,3.2,61.3,166.5
2,27,62,3.1,93,188.3
2,27,128,1.7,72.5,160.7
2,27,154,5,79.2,182.3
2,27,218,3,88.3,168.5
2,27,229,1.8,72.3,165
2,27,233,1.7,80.3,178
2,27,236,1.2,76.8,172.3
2,27,241,3.5,78.3,170.3
2,28,5,2,95,164.7
2,28,54,2.2,75.3,153.7
2,28,58,2,92.5,192
2,28,59,2.9,92.5,193
2,28,68,2.7,82,155.7
2,28,91,2.9,90,181.7
2,28,122,1.9,82.8,181.3
2,28,148,2.2,79.5,160.7
2,28,152,1.9,82.5,155.3
2,28,224,2.9,76.7,168.3
2,29,6,0.1,81.7,171.8
2,29,17,3.4,69.5,162.5
2,29,38,2.2,87,188.3
2,29,50,1.7,65,159.2
2,29,70,1,84.2,172.2
2,29,110,2.4,70,161.2
2,29,149,1.7,70.3,165.7
2,29,159,1.2,77.7,177.8
2,29,170,1.9,68.8,162
2,29,212,2.9,71.5,157.8
2,30,24,2.4,73,167.7
2,30,36,1.7,80,181.7
2,30,51,3.4,78,173.7
2,30,65,1.9,90.8,197
2,30,97,1.9,72.3,171.5
2,30,146,3.6,91.8,192.2
2,30,153,2.4,87.8,189.7
2,30,168,3.3,84.5,185.7
2,30,180,2.2,84.3,178.5
2,30,198,1.9,61.2,156.5
2,31,1,3.6,112.8,224.2
2,31,47,2.8,66.8,179.8
2,31,57,3.1,88.8,192.5
2,31,89,1.9,91.2,192.3
2,31,98,2.4,84,171.2
2,31,113,1.2,79.8,169.2
2,31,143,1.5,81.2,180.7
2,31,165,2.4,83.7,172
2,31,208,3.4,85,183
2,31,225,2.4,94.2,194.3
2,32,7,3.4,82.7,171.5
2,32,18,1,81,174
2,32,43,1.5,67,154.3
2,32,61,3.4,81.7,176.2
2,32,67,1,94.7,184.2
2,32,79,3.8,85,173
2,32,186,2.2,57.7,138.8
2,32,213,0.2,49,125
2,32,232,3.6,73.5,170.7
2,32,239,3.4,63.7,152
2,33,14,3.3,94.5,189.7
2,33,23,1.7,70.7,156.8
2,33,40,1.4,62.2,143
2,33,46,1.7,74.7,163.7
2,33,53,2.4,74.5,177.2
2,33,76,3.8,96.3,188.2
2,33,162,1.9,84.2,176.8
2,33,183,1.7,86.5,174.8
2,33,196,2.1,86.2,187.3
2,33,222,2.6,78.3,172
2,34,48,2,86.3,180.7
2,34,71,1.4,103.7,199.2
2,34,80,2.7,91.2,186.8
2,34,93,1.4,82.5,178.2
2,34,119,2.2,90.2,171.2
2,34,131,2.2,70.2,162
2,34,156,2.2,62.8,133.3
2,34,158,2.3,79,163
2,34,215,4.9,98.8,188.2
2,34,246,2.4,86,188.3
2,35,2,2.9,71.2,153.7
2,35,34,2.9,94.2,198.8
2,35,92,2,89.2,194.2
2,35,101,2.1,66.3,138.5
2,35,150,2.4,86.8,184.7
2,35,151,1.9,83.2,174.8
2,35,193,2.8,73.2,171.3
2,35,240,2.7,68.3,144
2,35,244,2.9,71.7,154.3
2,35,247,2.9,90.7,187.7
2,36,4,3.6,82.2,187
2,36,15,3.4,78,172.8
2,36,96,2.2,68.7,178
2,36,118,2.4,81.8,174.5
2,36,163,3.3,71.7,165.7
2,36,178,2.6,88.2,187
2,36,181,1.6,79,175.2
2,36,228,2.4,91.8,184.7
2,36,230,2.9,72,176.5
2,36,242,0,68.8,135.3
2,37,3,2.3,70.7,149.3
2,37,12,2.1,67,163
2,37,16,2.8,75.2,158.8
2,37,32,2.6,68.3,166.3
2,37,33,4,69.2,155.2
2,37,41,1.4,67.4,170.2
2,37,44,0.2,76,165
2,37,124,3.4,72.3,156.3
2,37,137,2.2,67,164.3
2,37,226,2.6,86.5,184.7
2,38,10,3.6,90.2,193
2,38,28,3.6,81.7,184.7
2,38,94,1.9,70.7,161
2,38,157,1.7,76.2,171.3
2,38,161,2.7,88.3,181.8
2,38,184,3.6,75.7,166
2,38,221,2.4,68.8,171.8
2,38,223,1.9,71.5,169.2
2,38,227,0,0,0
2,38,238,2.3,84.3,186.7
2,39,27,4.6,73.7,162.8
2,39,35,2.4,76.7,174.3
2,39,42,1.8,55.7,142.3
2,39,64,2.6,66.8,153.2
2,39,90,1.9,62.3,163.3
2,39,102,3.7,75.8,167.3
2,39,103,2.4,72.7,164.2
2,39,166,1.4,66.5,158.5
2,39,174,1.7,71.3,158.2
2,39,235,1.7,66,171
2,40,11,2.6,77.2,174.2
2,40,21,2.4,52.7,132
2,40,86,0.5,55,141
2,40,127,1.4,50.5,136.7
2,40,134,1,67.7,142.5
2,40,135,3.1,84.2,191.2
2,40,140,3.3,70.7,161.5
2,40,187,0.3,46.8,128.8
2,40,209,2.2,62.7,157
2,41,45,0.8,65.8,163
2,41,106,1.2,70.8,173
2,41,117,1,60.2,141.8
2,41,188,2.1,68.2,172.3
2,41,199,1.6,72.3,160.3
2,41,200,2.5,66.3,162.7
2,41,206,2.4,75,190.5
2,41,231,1.9,69.7,145.3
2,41,237,1.7,59.2,148.8
2,41,245,3.3,78.7,187.2
2,42,30,2.9,76.3,175.2
2,42,31,3.8,83.3,164
2,42,56,3.8,82.2,186.3
2,42,100,1.9,75.2,170.7
2,42,104,3.9,75.3,183.7
2,42,144,2.7,75.5,183.3
2,42,179,3,66.5,172
2,42,204,2.2,67.8,183.5
2,42,205,1,66,177
2,42,214,3.7,86.2,181.2
2,43,22,2.1,64.3,151.8
2,43,60,2.6,82.3,179
2,43,78,2.3,81.5,188.8
2,43,81,1.2,94,195.5
2,43,85,0.2,77.5,167.8
2,43,115,2.1,75.8,163.2
2,43,116,3.1,71.3,162.3
2,43,123,1.7,76.7,180.3
2,43,182,3.5,76.2,163.5
2,43,220,4.7,86.5,176.3
2,44,26,1.4,68.2,154.2
2,44,130,2.1,81,167.8
2,44,138,1.4,86.6,168.4
2,44,185,2.8,80.5,182.5
2,44,189,1.9,75.8,165.5
2,44,203,1.9,75.2,165.2
2,44,211,1.7,68,149.8
2,44,216,0.7,74.7,172.3
2,44,217,1.8,81.5,176.5
2,44,234,3,65,166.3
2,45,19,3.1,62.2,151.2
2,45,39,2.2,77.3,177.5
2,45,63,0.2,72.3,151.7
2,45,105,2,54.2,134.8
2,45,107,1.8,65.5,160.8
2,45,121,1.2,63.5,147
2,45,173,4.7,79.5,175.3
2,45,197,2.2,57,139
2,45,201,2,64.8,156.2
2,45,248,1.4,63.2,152
2,46,25,2.5,68.5,171.3
2,46,37,2.2,81,182.8
2,46,83,1.2,66.8,172
2,46,84,3.8,81.3,175.7
2,46,111,1.2,68.8,171.3
2,46,120,0.2,89,198
2,46,129,1.2,90.8,188.3
2,46,136,2.7,83.3,176.5
2,46,171,2.9,73.2,175.3
2,46,219,1.7,72.2,175.5
2,47,20,2.7,76.3,175.2
2,47,29,2,78,175.2
2,47,49,2,87.5,189.3
2,47,69,1.7,73.7,140
2,47,77,0.7,85.8,187
2,47,87,2.1,76.2,169.7
2,47,95,1.2,73.4,167
2,47,167,1.4,62.5,157
2,47,169,2.6,86.2,179
2,47,190,2.9,79.3,189
2,48,74,1,71.6,164.4
2,48,75,0.9,63.8,142.6
2,48,114,1.2,53.3,154
2,48,126,0.7,63,163.7
2,48,139,2.6,72.3,162
2,48,142,2.3,69.3,160.7
2,48,164,0.7,62,130.3
2,48,176,1.7,67,157.8
2,48,194,0.7,78.5,171.5
2,48,210,2.7,63.7,154.8
2,49,52,4,64.8,161
2,49,66,1.1,72.3,158.7
2,49,73,1.2,74.3,177.7
2,49,88,1.9,64.8,168
2,49,108,2.9,69.8,166
2,49,125,0.2,77.3,181.5
2,49,132,2.2,85.2,185.5
2,49,147,0.2,58,133
2,49,155,3,70,168.8
2,49,243,2.1,76.3,179
2,50,8,3.4,77.3,176
2,50,9,3.3,79,166
2,50,55,1.7,84,172.3
2,50,99,2.7,64.3,158.2
2,50,109,3.9,78.3,164.5
2,50,133,1.3,74,159.7
2,50,141,1,64.4,142.6
2,50,177,1.7,69.3,165.5
2,50,191,3.4,80.3,175
2,50,207,3.8,73.7,161.8
