ENTRY,GY,PH,SD
(CML444/CML536)//CKDHL1715870,7.308730228,244.0272479,73.43805673
(CML444/CML536)//CKDHL1715871,6.591466218,232.0516573,72.32373326
(CML444/CML536)//CKDHL1715879,6.825439826,251.5912443,71.36713197
(CML444/CML536)//CKDHL1715880,7.310936235,240.4259344,75.70400222
(CML444/CML536)//CKDHL1715882,6.498630906,246.1096845,72.85464153
(CML444/CML536)//CKDHL1715883,7.056252202,244.507176,73.21784133
(CML444/CML536)//CKDHL1715886,7.436790708,254.6848527,75.78049565
(CML444/CML536)//CKDHL1715887,6.805783806,243.1375624,75.66506603
(CML444/CML536)//CKDHL1715891,7.329112514,236.8849072,73.81400876
(CML444/CML536)//CKDHL1715892,7.201288672,243.917226,74.74465316
(CML444/CML536)//CKDHL1715895,7.326017429,239.9383902,73.36097407
(CML444/CML536)//CKDHL1715896,7.753424498,244.8986981,74.82102846
(CML444/CML536)//CKDHL1715898,7.001395534,240.437232,74.78718974
(CML444/CML536)//CKDHL1715900,6.988511218,243.4669796,73.57686755
(CML444/CML536)//CKDHL1715901,7.092186909,244.2738877,72.71480138
(CML444/CML536)//CKDHL1715902,7.268416139,249.1672415,76.37690278
(CML444/CML536)//CKDHL1715907,7.466479981,248.0806197,75.55700566
(CML444/CML536)//CKDHL1715909,7.240745686,239.5877415,74.17003772
(CML444/CML536)//CKDHL1715910,7.053669504,241.4759631,73.70504815
(CML444/CML536)//CKDHL1715912,7.163922358,249.1602831,75.40812806
(CML444/CML536)//CKDHL1715915,7.884195077,249.4804734,75.81129959
(CML444/CML536)//CKDHL1715918,7.40063923,242.6319688,75.16315522
(CML444/CML536)//CKDHL1715919,6.935281697,240.6934386,72.83664764
(CML444/CML536)//CKDHL1715921,7.082325871,234.0726655,72.21462646
(CML444/CML536)//CKDHL1715922,7.417179502,238.1496475,74.45072071
(CML444/CML536)//CKDHL1715927,7.556474602,239.2258282,74.16243407
(CML444/CML536)//CKDHL1715928,7.733738436,247.5469283,73.85274189
(CML444/CML536)//CKDHL1715931,6.909582216,245.3136898,73.41729511
(CML444/CML536)//CKDHL1715932,7.51259644,252.1946654,74.48974511
(CML444/CML536)//CKDHL1715934,7.097647398,242.2382415,74.81088064
(CML444/CML536)//CKDHL1715940,7.704920719,251.7307179,74.85349762
(CML444/CML536)//CKDHL1717302,7.125534834,242.927417,74.88750816
(CML444/CML536)//CKDHL1717350,6.829852394,245.5403987,74.29083604
(CML444/CML536)//CKDHL1717354,7.081418946,251.0738167,75.87144803
(CML444/CML536)//CKDHL1717363,7.874794153,252.6610496,75.20882406
(CML444/CML536)//CKDHL1717366,6.945349155,243.0759236,72.63335998
(CML444/CML536)//CKDHL1717390,7.214727104,245.0578751,75.40679298
(CML444/CML536)//CKDHL1717394,7.211532116,240.9053845,73.64307463
(CML444/CML536)//CKDHL1717398,6.449382942,248.1731009,74.05602707
(CML444/CML536)//CKDHL1717403,7.066409198,236.5871841,75.50799501
(CML444/CML536)//CKDHL1717404,7.070652537,243.7769079,75.7390762
(CML444/CML536)//CKDHL1717421,6.574125056,238.6662136,73.40932816
(CML444/CML536)//CKDHL1717463,7.06840472,242.2667709,71.00855965
(CML444/CML536)//CKDHL1717479,6.923738449,248.0766279,75.83022224
(CML444/CML536)//CKDHL1717481,6.775571725,247.3839338,76.0947358
(CML444/CML536)//CKDHL1717483,6.571764805,239.7811226,74.91831099
(CML444/CML536)//CKDHL1717507,7.154996818,248.7404866,73.99016021
(CML444/CML536)//CKDHL1717508,7.197109023,244.0716402,73.59831959
(CML444/CML536)//CKDHL1717519,6.48124228,239.4101463,73.91280292
(CML444/CML536)//CKDHL1717527,7.505130056,255.7289541,74.74773025
(CML444/CML536)//CKDHL1717529,7.210928852,254.5022111,76.47082744
(CML444/CML536)//CKDHL1717535,5.943231452,238.4054898,76.06136282
(CML444/CML536)//CKDHL1718483,7.426436751,243.6340237,72.6868335
(CML444/CML536)//CKDHL1718565,6.860871551,239.2552155,74.33981219
(CML444/CML536)//CKDHL1718642,7.08593659,238.6868857,72.76129859
(CML444/CML536)//CKDHL1718746,6.788461347,243.0959874,74.19317942
(CML444/CML536)//CKDHL1719134,6.758746074,248.7568237,78.06725498
(CML444/CML536)//CKDHL1719284,6.972411189,246.1734516,73.53697035
(CML444/CML536)//CKDHL1720436,7.889724705,254.3057646,78.43953919
(CML444/CML536)//CKDHL1720438,7.669346468,249.5279758,76.88817374
(CML444/CML536)//CKDHL1720452,7.619658076,250.504264,78.67028823
(CML444/CML536)//CKDHL1720469,7.387502115,248.2429405,80.25633129
(CML444/CML536)//CKDHL1720562,6.94043995,236.2471084,77.4579493
(CML444/CML536)//CKDHL1720581,7.37133855,251.29932,76.31519737
(CML444/CML536)//CKDHL1720616,7.356403395,244.4513132,78.42618566
(CML444/CML536)//CKDHL1720617,6.748489039,245.1955017,74.37735635
(CML444/CML536)//CKDHL1720643,7.26550834,248.1757432,75.31889484
(CML444/CML536)//CKDHL1720648,7.16764264,243.3963229,78.58535116
(CML444/CML536)//CKDHL1720663,7.108175666,247.2196785,78.20562138
(CML444/CML536)//CKDHL1720667,7.070554554,238.4929946,76.99594998
(CML444/CML536)//CKDHL1720696,6.705672872,242.5745154,76.64810601
(CML444/CML536)//CKDHL1720758,6.768105347,244.9272346,75.70512401
(CML444/CML536)//CKDHL1720872,6.546215149,242.0180889,77.0797447
(CML444/CML536)//CKDHL1720891,7.175239781,247.8306058,77.44809058
(CML543/CML566)//CKDHL1706815,7.054640321,238.0618838,71.97992544
(CML543/CML566)//CKDHL1706862,7.315011693,240.026762,73.1257193
(CML543/CML566)//CKDHL1706884,7.147909408,242.0206844,73.78514024
(CML543/CML566)//CKDHL1706887,7.499635322,239.3360686,76.04104514
(CML543/CML566)//CKDHL1706909,5.773459722,237.0346954,73.03781448
(CML543/CML566)//CKDHL1706939,6.748553047,232.1922518,73.38924625
(CML543/CML566)//CKDHL1715255,6.972278958,231.9025082,73.024852
(CML543/CML566)//CKDHL1715260,6.616548884,243.3431678,76.60906942
(CML543/CML566)//CKDHL1715316,7.530513441,250.7334116,75.7257621
(CML543/CML566)//CKDHL1715381,6.940687739,232.0270138,74.3073594
(CML543/CML566)//CKDHL1715408,6.818081088,232.1582192,76.11307666
(CML543/CML566)//CKDHL1715411,6.856536971,239.8659705,76.62550204
(CML543/CML566)//CKDHL1715442,6.343286855,231.8605068,76.79878706
(CML543/CML566)//CKDHL1715475,6.397716547,235.9909366,75.68074997
(CML543/CML566)//CKDHL1715480,6.092771896,232.2722336,74.22900552
(CML543/CML566)//CKDHL1715486,6.944149649,237.3289255,75.8550998
(CML543/CML566)//CKDHL1715490,6.920746005,236.3857134,77.58611403
(CML543/CML566)//CKDHL1715496,6.618176588,231.2267276,76.98623142
(CML543/CML566)//CKDHL1715497,7.512595977,238.1740424,76.85022508
(CML543/CML566)//CKDHL1715500,6.441348816,239.0385133,76.35117293
(CML543/CML566)//CKDHL1715506,6.448318458,239.791289,74.96747764
(CML543/CML566)//CKDHL1715529,6.503361076,226.1795455,77.9117703
(CML543/CML566)//CKDHL1715564,6.138371039,237.4077378,77.43125695
(CML543/CML566)//CKDHL1715607,7.147489693,233.5677152,76.02987525
(CML543/CML566)//CKDHL1715617,6.414717924,229.3445372,75.2997796
(CML543/CML566)//CKDHL1715634,7.269401472,246.937907,74.30069355
(CML543/CML566)//CKDHL1715637,6.717395077,234.5091824,74.72681743
(CML543/CML566)//CKDHL1715648,6.705756452,243.5476475,75.59035949
(CML543/CML566)//CKDHL1715658,7.836754481,246.413121,75.68779903
(CML543/CML566)//CKDHL1715659,7.019691903,240.4562004,73.95105521
(CML543/CML566)//CKDHL1715661,7.363164399,238.4981336,73.31909734
(CML543/CML566)//CKDHL1715668,7.529014467,250.765752,76.65628283
(CML543/CML566)//CKDHL1715671,7.145488832,234.7743284,74.59417685
(CML543/CML566)//CKDHL1715674,8.184447129,242.5673441,75.93778449
(CML543/CML566)//CKDHL1715677,7.889147405,243.4047702,74.74462348
(CML543/CML566)//CKDHL1715678,7.558798196,243.799582,78.32510309
(CML543/CML566)//CKDHL1715679,7.570472703,240.608015,77.59282312
(CML543/CML566)//CKDHL1715680,6.24360846,224.1563092,72.34430462
(CML543/CML566)//CKDHL1715686,6.942083155,234.302658,74.61281816
(CML543/CML566)//CKDHL1715690,6.865785121,238.4370897,77.00976735
(CML543/CML566)//CKDHL1715694,7.278527519,240.7363114,74.49521063
(CML543/CML566)//CKDHL1715698,7.028978487,226.5860131,74.43564613
(CML543/CML566)//CKDHL1715699,7.357576337,243.4943134,74.51929995
(CML543/CML566)//CKDHL1715700,7.020373666,234.3613683,75.02105771
(CML543/CML566)//CKDHL1715702,7.114082233,238.0689351,72.83615257
(CML543/CML566)//CKDHL1715708,7.049840346,234.8831673,74.77530431
